tupleid,attribute,value
278,county name,SHELBY
278,phone number,2056208100
278,hospital type,Acute Care Hospitals
278,hospital owner,Voluntary non-profit - Church
278,emergency service,Yes
278,condition,Heart Failure
278,measure code,HF-2
278,measure name,Heart Failure Patients Given an Evaluation of Left Ventricular Systolic (LVS) Function
278,score,100%
278,sample,246 patients
278,stateavg,AL_HF-2
279,provider number,10016
279,hospital name,SHELBY BAPTIST MEDICAL CENTER
279,address1,1000 FIRST STREET NORTH
279,address2,""
279,address3,""
279,city,ALABASTER
279,state,AL
279,zip code,35007
279,county name,SHELBY
279,phone number,2056208100
279,hospital type,Acute Care Hospitals
279,hospital owner,Voluntary non-profit - Church
279,emergency service,Yes
279,condition,Heart Failure
279,measure code,HF-3
279,measure name,Heart Failure Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD)
279,score,97%
279,sample,71 patients
279,stateavg,AL_HF-3
280,provider number,10016
280,hospital name,SHELBY BAPTIST MEDICAL CENTER
280,address1,1000 FIRST STREET NORTH
280,address2,""
280,address3,""
280,city,ALABASTER
280,state,AL
280,zip code,35007
280,county name,SHELBY
280,phone number,2056208100
280,hospital type,Acute Care Hospitals
280,hospital owner,Voluntary non-profit - Church
280,emergency service,Yes
280,condition,Heart Failure
280,measure code,HF-4
280,measure name,Heart Failure Patients Given Smoking Cessation Advice/Counseling
280,score,100%
280,sample,48 patients
280,stateavg,AL_HF-4
281,provider number,10016
281,hospital name,SHELBY BAPTIST MEDICAL CENTER
281,address1,1000 FIRST STREET NORTH
281,address2,""
281,address3,""
281,city,ALABASTER
281,state,AL
281,zip code,35007
281,county name,SHELBY
281,phone number,2056208100
281,hospital type,Acute Care Hospitals
281,hospital owner,Voluntary non-profit - Church
281,emergency service,Yes
281,condition,Pneumonia
281,measure code,PN-2
281,measure name,Pneumonia Patients Assessed and Given Pneumococcal Vaccination
281,score,97%
281,sample,235 patients
281,stateavg,AL_PN-2
282,provider number,10016
282,hospital name,SHELBY BAPTIST MEDICAL CENTER
282,address1,1000 FIRST STREET NORTH
282,address2,""
282,address3,""
282,city,ALABASTER
282,state,AL
282,zip code,35007
282,county name,SHELBY
282,phone number,2056208100
282,hospital type,Acute Care Hospitals
282,hospital owner,Voluntary non-profit - Church
282,emergency service,Yes
282,condition,Pneumonia
282,measure code,PN-3B
282,measure name,Pneumonia Patients Whose Initial Emergency Room Blood Culture Was Performed Prior To The Administration Of The First Hospital Dose Of Antibiotics
282,score,100%
282,sample,110 patients
282,stateavg,AL_PN-3B
283,provider number,10016
283,hospital name,SHELBY BAPTIST MEDICAL CENTER
283,address1,1000 FIRST STREET NORTH
283,address2,""
283,address3,""
283,city,ALABASTER
283,state,AL
283,zip code,35007
283,county name,SHELBY
283,phone number,2056208100
283,hospital type,Acute Care Hospitals
283,hospital owner,Voluntary non-profit - Church
283,emergency service,Yes
283,condition,Pneumonia
283,measure code,PN-4
283,measure name,Pneumonia Patients Given Smoking Cessation Advice/Counseling
283,score,100%
283,sample,131 patients
283,stateavg,AL_PN-4
284,provider number,10016
284,hospital name,SHELBY BAPTIST MEDICAL CENTER
284,address1,1000 FIRST STREET NORTH
284,address2,""
284,address3,""
284,city,ALABASTER
284,state,AL
284,zip code,35007
284,county name,SHELBY
284,phone number,2056208100
284,hospital type,Acute Care Hospitals
284,hospital owner,Voluntary non-profit - Church
284,emergency service,Yes
284,condition,Pneumonia
284,measure code,PN-5C
284,measure name,Pneumonia Patients Given Initial Antibiotic(s) within 6 Hours After Arrival
284,score,96%
284,sample,239 patients
284,stateavg,AL_PN-5C
285,provider number,10016
285,hospital name,SHELBY BAPTIST MEDICAL CENTER
285,address1,1000 FIRST STREET NORTH
285,address2,""
285,address3,""
285,city,ALABASTER
285,state,AL
285,zip code,35007
285,county name,SHELBY
285,phone number,2056208100
285,hospital type,Acute Care Hospitals
285,hospital owner,Voluntary non-profit - Church
285,emergency service,Yes
285,condition,Pneumonia
285,measure code,PN-6
285,measure name,Pneumonia Patients Given the Most Appropriate Initial Antibiotic(s)
285,score,93%
285,sample,116 patients
285,stateavg,AL_PN-6
286,provider number,10016
286,hospital name,SHELBY BAPTIST MEDICAL CENTER
286,address1,1000 FIRST STREET NORTH
286,address2,""
286,address3,""
286,city,ALABASTER
286,state,AL
286,zip code,35007
286,county name,SHELBY
286,phone number,2056208100
286,hospital type,Acute Care Hospitals
286,hospital owner,Voluntary non-profit - Church
286,emergency service,Yes
286,condition,Pneumonia
286,measure code,PN-7
286,measure name,Pneumonia Patients Assessed and Given Influenza Vaccination
286,score,92%
286,sample,199 patients
286,stateavg,AL_PN-7
287,provider number,10016
287,hospital name,SHELBY BAPTIST MEDICAL CENTER
287,address1,1000 FIRST STREET NORTH
287,address2,""
287,address3,""
287,city,ALABASTER
287,state,AL
287,zip code,35007
287,county name,SHELBY
287,phone number,2056208100
287,hospital type,Acute Care Hospitals
287,hospital owner,Voluntary non-profit - Church
287,emergency service,Yes
287,condition,Surgical Infection Prevention
287,measure code,SCIP-CARD-2
287,measure name,surgery patients who were taking heart drugs called beta blockers before coming to the hospital&#54; who were kept on the beta blockers during the period just before and after their surgery
287,score,89%
287,sample,96 patients
287,stateavg,AL_SCIP-CARD-2
288,provider number,10016
288,hospital name,SHELBY BAPTIST MEDICAL CENTER
288,address1,1000 FIRST STREET NORTH
288,address2,""
288,address3,""
288,city,ALABASTER
288,state,AL
288,zip code,35007
288,county name,SHELBY
288,phone number,2056208100
288,hospital type,Acute Care Hospitals
288,hospital owner,Voluntary non-profit - Church
288,emergency service,Yes
288,condition,Surgical Infection Prevention
288,measure code,SCIP-INF-1
288,measure name,surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection
288,score,98%
288,sample,368 patients
288,stateavg,AL_SCIP-INF-1
289,provider number,10016
289,hospital name,SHELBY BAPTIST MEDICAL CENTER
289,address1,1000 FIRST STREET NORTH
289,address2,""
289,address3,""
289,city,ALABASTER
289,state,AL
289,zip code,35007
289,county name,SHELBY
289,phone number,2056208100
289,hospital type,Acute Care Hospitals
289,hospital owner,Voluntary non-profit - Church
289,emergency service,Yes
289,condition,Surgical Infection Prevention
289,measure code,SCIP-INF-2
289,measure name,surgery patients who were given the  right kind  of antibiotic to help prevent infection
289,score,99%
289,sample,370 patients
289,stateavg,AL_SCIP-INF-2
290,provider number,10016
290,hospital name,SHELBY BAPTIST MEDICAL CENTER
290,address1,1000 FIRST STREET NORTH
290,address2,""
290,address3,""
290,city,ALABASTER
290,state,AL
290,zip code,35007
290,county name,SHELBY
290,phone number,2056208100
290,hospital type,Acute Care Hospitals
290,hospital owner,Voluntary non-profit - Church
290,emergency service,Yes
290,condition,Surgical Infection Prevention
290,measure code,SCIP-INF-3
290,measure name,surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery)
290,score,91%
290,sample,331 patients
290,stateavg,AL_SCIP-INF-3
291,provider number,10016
291,hospital name,SHELBY BAPTIST MEDICAL CENTER
291,address1,1000 FIRST STREET NORTH
291,address2,""
291,address3,""
291,city,ALABASTER
291,state,AL
291,zip code,35007
291,county name,SHELBY
291,phone number,2056208100
291,hospital type,Acute Care Hospitals
291,hospital owner,Voluntary non-profit - Church
291,emergency service,Yes
291,condition,Surgical Infection Prevention
291,measure code,SCIP-INF-4
291,measure name,all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery
291,score,93%
291,sample,116 patients
291,stateavg,AL_SCIP-INF-4
292,provider number,10016
292,hospital name,SHELBY BAPTIST MEDICAL CENTER
292,address1,1000 FIRST STREET NORTH
292,address2,""
292,address3,""
292,city,ALABASTER
292,state,AL
292,zip code,35007
292,county name,SHELBY
292,phone number,2056208100
292,hospital type,Acute Care Hospitals
292,hospital owner,Voluntary non-profit - Church
292,emergency service,Yes
292,condition,Surgical Infection Prevention
292,measure code,SCIP-INF-6
292,measure name,surgery patients needing hair removed from the surgical area before surgery&#54; who had hair removed using a safer method (electric clippers or hair removal cream �C not a razor)
292,score,100%
292,sample,588 patients
292,stateavg,AL_SCIP-INF-6
293,provider number,10016
293,hospital name,SHELBY BAPTIST MEDICAL CENTER
293,address1,1000 FIRST STREET NORTH
293,address2,""
293,address3,""
293,city,ALABASTER
293,state,AL
293,zip code,35007
293,county name,SHELBY
293,phone number,2056208100
293,hospital type,Acute Care Hospitals
293,hospital owner,Voluntary non-profit - Church
293,emergency service,Yes
293,condition,Surgical Infection Prevention
293,measure code,SCIP-VTE-1
293,measure name,surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries
293,score,97%
293,sample,226 patients
293,stateavg,AL_SCIP-VTE-1
294,provider number,10016
294,hospital name,SHELBY BAPTIST MEDICAL CENTER
294,address1,1000 FIRST STREET NORTH
294,address2,""
294,address3,""
294,city,ALABASTER
294,state,AL
294,zip code,35007
294,county name,SHELBY
294,phone number,2056208100
294,hospital type,Acute Care Hospitals
294,hospital owner,Voluntary non-profit - Church
294,emergency service,Yes
294,condition,Surgical Infection Prevention
294,measure code,SCIP-VTE-2
294,measure name,patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery
294,score,94%
294,sample,225 patients
294,stateavg,AL_SCIP-VTE-2
295,provider number,10018
295,hospital name,CALLAHAN EYE FOUNDATION HOSPITAL
295,address1,1720 UNIVERSITY BLVD
295,address2,""
295,address3,""
295,city,BIRMINGHAM
295,state,AL
295,zip code,35233
295,county name,JEFFERSON
295,phone number,2053258100
295,hospital type,Acute Care Hospitals
295,hospital owner,Voluntary non-profit - Private
295,emergency service,Yes
295,condition,Heart Attack
295,measure code,AMI-1
295,measure name,Heart Attack Patients Given Aspirin at Arrival
295,score,""
295,sample,""
295,stateavg,AL_AMI-1
296,provider number,10018
296,hospital name,CALLAHAN EYE FOUNDATION HOSPITAL
296,address1,1720 UNIVERSITY BLVD
296,address2,""
296,address3,""
296,city,BIRMINGHAM
296,state,AL
296,zip code,35233
296,county name,JEFFERSON
296,phone number,2053258100
296,hospital type,Acute Care Hospitals
296,hospital owner,Voluntary non-profit - Private
296,emergency service,Yes
296,condition,Heart Attack
296,measure code,AMI-2
296,measure name,Heart Attack Patients Given Aspirin at Discharge
296,score,""
296,sample,""
296,stateavg,AL_AMI-2
297,provider number,10018
297,hospital name,CALLAHAN EYE FOUNDATION HOSPITAL
297,address1,1720 UNIVERSITY BLVD
297,address2,""
297,address3,""
297,city,BIRMINGHAM
297,state,AL
297,zip code,35233
297,county name,JEFFERSON
297,phone number,2053258100
297,hospital type,Acute Care Hospitals
297,hospital owner,Voluntary non-profit - Private
297,emergency service,Yes
297,condition,Heart Attack
297,measure code,AMI-3
297,measure name,Heart Attack Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD)
297,score,""
297,sample,""
297,stateavg,AL_AMI-3
298,provider number,10018
298,hospital name,CALLAHAN EYE FOUNDATION HOSPITAL
298,address1,1720 UNIVERSITY BLVD
298,address2,""
298,address3,""
298,city,BIRMINGHAM
298,state,AL
298,zip code,35233
298,county name,JEFFERSON
298,phone number,2053258100
298,hospital type,Acute Care Hospitals
298,hospital owner,Voluntary non-profit - Private
298,emergency service,Yes
298,condition,Heart Attack
298,measure code,AMI-4
298,measure name,Heart Attack Patients Given Smoking Cessation Advice/Counseling
298,score,""
298,sample,""
298,stateavg,AL_AMI-4
299,provider number,10018
299,hospital name,CALLAHAN EYE FOUNDATION HOSPITAL
299,address1,1720 UNIVERSITY BLVD
299,address2,""
299,address3,""
299,city,BIRMINGHAM
299,state,AL
299,zip code,35233
299,county name,JEFFERSON
299,phone number,2053258100
299,hospital type,Acute Care Hospitals
299,hospital owner,Voluntary non-profit - Private
299,emergency service,Yes
299,condition,Heart Attack
299,measure code,AMI-5
299,measure name,Heart Attack Patients Given Beta Blocker at Discharge
299,score,""
299,sample,""
299,stateavg,AL_AMI-5
300,provider number,10018
300,hospital name,CALLAHAN EYE FOUNDATION HOSPITAL
300,address1,1720 UNIVERSITY BLVD
300,address2,""
300,address3,""
300,city,BIRMINGHAM
300,state,AL
300,zip code,35233
300,county name,JEFFERSON
300,phone number,2053258100
300,hospital type,Acute Care Hospitals
300,hospital owner,Voluntary non-profit - Private
300,emergency service,Yes
300,condition,Heart Attack
300,measure code,AMI-7A
300,measure name,Heart Attack Patients Given Fibrinolytic Medication Within 30 Minutes Of Arrival
300,score,""
300,sample,""
300,stateavg,AL_AMI-7A
301,provider number,10018
301,hospital name,CALLAHAN EYE FOUNDATION HOSPITAL
301,address1,1720 UNIVERSITY BLVD
301,address2,""
301,address3,""
301,city,BIRMINGHAM
301,state,AL
301,zip code,35233
301,county name,JEFFERSON
301,phone number,2053258100
301,hospital type,Acute Care Hospitals
301,hospital owner,Voluntary non-profit - Private
301,emergency service,Yes
301,condition,Heart Attack
301,measure code,AMI-8A
301,measure name,Heart Attack Patients Given PCI Within 90 Minutes Of Arrival
301,score,""
301,sample,""
301,stateavg,AL_AMI-8A
302,provider number,10018
302,hospital name,CALLAHAN EYE FOUNDATION HOSPITAL
302,address1,1720 UNIVERSITY BLVD
302,address2,""
302,address3,""
302,city,BIRMINGHAM
302,state,AL
302,zip code,35233
302,county name,JEFFERSON
302,phone number,2053258100
302,hospital type,Acute Care Hospitals
302,hospital owner,Voluntary non-profit - Private
302,emergency service,Yes
302,condition,Heart Failure
302,measure code,HF-1
302,measure name,Heart Failure Patients Given Discharge Instructions
302,score,""
302,sample,""
302,stateavg,AL_HF-1
303,provider number,10018
303,hospital name,CALLAHAN EYE FOUNDATION HOSPITAL
303,address1,1720 UNIVERSITY BLVD
303,address2,""
303,address3,""
303,city,BIRMINGHAM
303,state,AL
303,zip code,35233
303,county name,JEFFERSON
303,phone number,2053258100
303,hospital type,Acute Care Hospitals
303,hospital owner,Voluntary non-profit - Private
303,emergency service,Yes
303,condition,Heart Failure
303,measure code,HF-2
303,measure name,Heart Failure Patients Given an Evaluation of Left Ventricular Systolic (LVS) Function
303,score,""
303,sample,""
303,stateavg,AL_HF-2
304,provider number,10018
304,hospital name,CALLAHAN EYE FOUNDATION HOSPITAL
304,address1,1720 UNIVERSITY BLVD
304,address2,""
304,address3,""
304,city,BIRMINGHAM
304,state,AL
304,zip code,35233
304,county name,JEFFERSON
304,phone number,2053258100
304,hospital type,Acute Care Hospitals
304,hospital owner,Voluntary non-profit - Private
304,emergency service,Yes
304,condition,Heart Failure
304,measure code,HF-3
304,measure name,Heart Failure Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD)
304,score,""
304,sample,""
304,stateavg,AL_HF-3
305,provider number,10018
305,hospital name,CALLAHAN EYE FOUNDATION HOSPITAL
305,address1,1720 UNIVERSITY BLVD
305,address2,""
305,address3,""
305,city,BIRMINGHAM
305,state,AL
305,zip code,35233
305,county name,JEFFERSON
305,phone number,2053258100
305,hospital type,Acute Care Hospitals
305,hospital owner,Voluntary non-profit - Private
305,emergency service,Yes
305,condition,Heart Failure
305,measure code,HF-4
305,measure name,Heart Failure Patients Given Smoking Cessation Advice/Counseling
305,score,""
305,sample,""
305,stateavg,AL_HF-4
306,provider number,10018
306,hospital name,CALLAHAN EYE FOUNDATION HOSPITAL
306,address1,1720 UNIVERSITY BLVD
306,address2,""
306,address3,""
306,city,BIRMINGHAM
306,state,AL
306,zip code,35233
306,county name,JEFFERSON
306,phone number,2053258100
306,hospital type,Acute Care Hospitals
306,hospital owner,Voluntary non-profit - Private
306,emergency service,Yes
306,condition,Pneumonia
306,measure code,PN-2
306,measure name,Pneumonia Patients Assessed and Given Pneumococcal Vaccination
306,score,""
306,sample,""
306,stateavg,AL_PN-2
307,provider number,10018
307,hospital name,CALLAHAN EYE FOUNDATION HOSPITAL
307,address1,1720 UNIVERSITY BLVD
307,address2,""
307,address3,""
307,city,BIRMINGHAM
307,state,AL
307,zip code,35233
307,county name,JEFFERSON
307,phone number,2053258100
307,hospital type,Acute Care Hospitals
307,hospital owner,Voluntary non-profit - Private
307,emergency service,Yes
307,condition,Pneumonia
307,measure code,PN-3B
307,measure name,Pneumonia Patients Whose Initial Emergency Room Blood Culture Was Performed Prior To The Administration Of The First Hospital Dose Of Antibiotics
307,score,""
307,sample,""
307,stateavg,AL_PN-3B
308,provider number,10018
308,hospital name,CALLAHAN EYE FOUNDATION HOSPITAL
308,address1,1720 UNIVERSITY BLVD
308,address2,""
308,address3,""
308,city,BIRMINGHAM
308,state,AL
308,zip code,35233
308,county name,JEFFERSON
308,phone number,2053258100
308,hospital type,Acute Care Hospitals
308,hospital owner,Voluntary non-profit - Private
308,emergency service,Yes
308,condition,Pneumonia
308,measure code,PN-4
308,measure name,Pneumonia Patients Given Smoking Cessation Advice/Counseling
308,score,""
308,sample,""
308,stateavg,AL_PN-4
309,provider number,10018
309,hospital name,CALLAHAN EYE FOUNDATION HOSPITAL
309,address1,1720 UNIVERSITY BLVD
309,address2,""
309,address3,""
309,city,BIRMINGHAM
309,state,AL
309,zip code,35233
309,county name,JEFFERSON
309,phone number,2053258100
309,hospital type,Acute Care Hospitals
309,hospital owner,Voluntary non-profit - Private
309,emergency service,Yes
309,condition,Pneumonia
309,measure code,PN-5C
309,measure name,Pneumonia Patients Given Initial Antibiotic(s) within 6 Hours After Arrival
309,score,""
309,sample,""
309,stateavg,AL_PN-5C
310,provider number,10018
310,hospital name,CALLAHAN EYE FOUNDATION HOSPITAL
310,address1,1720 UNIVERSITY BLVD
310,address2,""
310,address3,""
310,city,BIRMINGHAM
310,state,AL
310,zip code,35233
310,county name,JEFFERSON
310,phone number,2053258100
310,hospital type,Acute Care Hospitals
310,hospital owner,Voluntary non-profit - Private
310,emergency service,Yes
310,condition,Pneumonia
310,measure code,PN-6
310,measure name,Pneumonia Patients Given the Most Appropriate Initial Antibiotic(s)
310,score,""
310,sample,""
310,stateavg,AL_PN-6
311,provider number,10018
311,hospital name,CALLAHAN EYE FOUNDATION HOSPITAL
311,address1,1720 UNIVERSITY BLVD
311,address2,""
311,address3,""
311,city,BIRMINGHAM
311,state,AL
311,zip code,35233
311,county name,JEFFERSON
311,phone number,2053258100
311,hospital type,Acute Care Hospitals
311,hospital owner,Voluntary non-profit - Private
311,emergency service,Yes
311,condition,Pneumonia
311,measure code,PN-7
311,measure name,Pneumonia Patients Assessed and Given Influenza Vaccination
311,score,""
311,sample,""
311,stateavg,AL_PN-7
312,provider number,10038
312,hospital name,STRINGFELLOW MEMORIAL HOSPITAL
312,address1,301 EAST 18TH ST
312,address2,""
312,address3,""
312,city,ANNISTON
312,state,AL
312,zip code,36201
312,county name,CALHOUN
312,phone number,2562358900
312,hospital type,Acute Care Hospitals
312,hospital owner,Proprietary
312,emergency service,Yes
312,condition,Children&#8217;s Asthma Care
312,measure code,CAC-2
312,measure name,Children Who Received Systemic Corticosteroid Medication (oral and IV Medication That Reduces Inflammation and Controls Symptoms) While Hospitalized for Asthma
312,score,100%
312,sample,9 patients
312,stateavg,AL_CAC-2
313,provider number,10038
313,hospital name,STRINGFELLOW MEMORIAL HOSPITAL
313,address1,301 EAST 18TH ST
313,address2,""
313,address3,""
313,city,ANNISTON
313,state,AL
313,zip code,36201
313,county name,CALHOUN
313,phone number,2562358900
313,hospital type,Acute Care Hospitals
313,hospital owner,Proprietary
313,emergency service,Yes
313,condition,Children&#8217;s Asthma Care
313,measure code,CAC-3
313,measure name,Children and their Caregivers Who Received a Home Management Plan of Care Document While Hospitalized for Asthma
313,score,33%
313,sample,9 patients
313,stateavg,AL_CAC-3
314,provider number,10038
314,hospital name,STRINGFELLOW MEMORIAL HOSPITAL
314,address1,301 EAST 18TH ST
314,address2,""
314,address3,""
314,city,ANNISTON
314,state,AL
314,zip code,36201
314,county name,CALHOUN
314,phone number,2562358900
314,hospital type,Acute Care Hospitals
314,hospital owner,Proprietary
314,emergency service,Yes
314,condition,Heart Attack
314,measure code,AMI-1
314,measure name,Heart Attack Patients Given Aspirin at Arrival
314,score,98%
314,sample,81 patients
314,stateavg,AL_AMI-1
315,provider number,10038
315,hospital name,STRINGFELLOW MEMORIAL HOSPITAL
315,address1,301 EAST 18TH ST
315,address2,""
315,address3,""
315,city,ANNISTON
315,state,AL
315,zip code,36201
315,county name,CALHOUN
315,phone number,2562358900
315,hospital type,Acute Care Hospitals
315,hospital owner,Proprietary
315,emergency service,Yes
315,condition,Heart Attack
315,measure code,AMI-2
315,measure name,Heart Attack Patients Given Aspirin at Discharge
315,score,96%
315,sample,73 patients
315,stateavg,AL_AMI-2
316,provider number,10038
316,hospital name,STRINGFELLOW MEMORIAL HOSPITAL
316,address1,301 EAST 18TH ST
316,address2,""
316,address3,""
316,city,ANNISTON
316,state,AL
316,zip code,36201
316,county name,CALHOUN
316,phone number,2562358900
316,hospital type,Acute Care Hospitals
316,hospital owner,Proprietary
316,emergency service,Yes
316,condition,Heart Attack
316,measure code,AMI-3
316,measure name,Heart Attack Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD)
316,score,93%
316,sample,14 patients
316,stateavg,AL_AMI-3
317,provider number,10038
317,hospital name,STRINGFELLOW MEMORIAL HOSPITAL
317,address1,301 EAST 18TH ST
317,address2,""
317,address3,""
317,city,ANNISTON
317,state,AL
317,zip code,36201
317,county name,CALHOUN
317,phone number,2562358900
317,hospital type,Acute Care Hospitals
317,hospital owner,Proprietary
317,emergency service,Yes
317,condition,Heart Attack
317,measure code,AMI-4
317,measure name,Heart Attack Patients Given Smoking Cessation Advice/Counseling
317,score,100%
317,sample,29 patients
317,stateavg,AL_AMI-4
318,provider number,10038
318,hospital name,STRINGFELLOW MEMORIAL HOSPITAL
318,address1,301 EAST 18TH ST
318,address2,""
318,address3,""
318,city,ANNISTON
318,state,AL
318,zip code,36201
318,county name,CALHOUN
318,phone number,2562358900
318,hospital type,Acute Care Hospitals
318,hospital owner,Proprietary
318,emergency service,Yes
318,condition,Heart Attack
318,measure code,AMI-5
318,measure name,Heart Attack Patients Given Beta Blocker at Discharge
318,score,93%
318,sample,67 patients
318,stateavg,AL_AMI-5
319,provider number,10038
319,hospital name,STRINGFELLOW MEMORIAL HOSPITAL
319,address1,301 EAST 18TH ST
319,address2,""
319,address3,""
319,city,ANNISTON
319,state,AL
319,zip code,36201
319,county name,CALHOUN
319,phone number,2562358900
319,hospital type,Acute Care Hospitals
319,hospital owner,Proprietary
319,emergency service,Yes
319,condition,Heart Attack
319,measure code,AMI-7A
319,measure name,Heart Attack Patients Given Fibrinolytic Medication Within 30 Minutes Of Arrival
319,score,0%
319,sample,1 patients
319,stateavg,AL_AMI-7A
320,provider number,10038
320,hospital name,STRINGFELLOW MEMORIAL HOSPITAL
320,address1,301 EAST 18TH ST
320,address2,""
320,address3,""
320,city,ANNISTON
320,state,AL
320,zip code,36201
320,county name,CALHOUN
320,phone number,2562358900
320,hospital type,Acute Care Hospitals
320,hospital owner,Proprietary
320,emergency service,Yes
320,condition,Heart Attack
320,measure code,AMI-8A
320,measure name,Heart Attack Patients Given PCI Within 90 Minutes Of Arrival
320,score,87%
320,sample,15 patients
320,stateavg,AL_AMI-8A
321,provider number,10038
321,hospital name,STRINGFELLOW MEMORIAL HOSPITAL
321,address1,301 EAST 18TH ST
321,address2,""
321,address3,""
321,city,ANNISTON
321,state,AL
321,zip code,36201
321,county name,CALHOUN
321,phone number,2562358900
321,hospital type,Acute Care Hospitals
321,hospital owner,Proprietary
321,emergency service,Yes
321,condition,Heart Failure
321,measure code,HF-1
321,measure name,Heart Failure Patients Given Discharge Instructions
321,score,87%
321,sample,142 patients
321,stateavg,AL_HF-1
322,provider number,10038
322,hospital name,STRINGFELLOW MEMORIAL HOSPITAL
322,address1,301 EAST 18TH ST
322,address2,""
322,address3,""
322,city,ANNISTON
322,state,AL
322,zip code,36201
322,county name,CALHOUN
322,phone number,2562358900
322,hospital type,Acute Care Hospitals
322,hospital owner,Proprietary
322,emergency service,Yes
322,condition,Heart Failure
322,measure code,HF-2
322,measure name,Heart Failure Patients Given an Evaluation of Left Ventricular Systolic (LVS) Function
322,score,100%
322,sample,157 patients
322,stateavg,AL_HF-2
323,provider number,10038
323,hospital name,STRINGFELLOW MEMORIAL HOSPITAL
323,address1,301 EAST 18TH ST
323,address2,""
323,address3,""
323,city,ANNISTON
323,state,AL
323,zip code,36201
323,county name,CALHOUN
323,phone number,2562358900
323,hospital type,Acute Care Hospitals
323,hospital owner,Proprietary
323,emergency service,Yes
323,condition,Heart Failure
323,measure code,HF-3
323,measure name,Heart Failure Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD)
323,score,90%
323,sample,49 patients
323,stateavg,AL_HF-3
324,provider number,10038
324,hospital name,STRINGFELLOW MEMORIAL HOSPITAL
324,address1,301 EAST 18TH ST
324,address2,""
324,address3,""
324,city,ANNISTON
324,state,AL
324,zip code,36201
324,county name,CALHOUN
324,phone number,2562358900
324,hospital type,Acute Care Hospitals
324,hospital owner,Proprietary
324,emergency service,Yes
324,condition,Heart Failure
324,measure code,HF-4
324,measure name,Heart Failure Patients Given Smoking Cessation Advice/Counseling
324,score,100%
324,sample,41 patients
324,stateavg,AL_HF-4
325,provider number,10038
325,hospital name,STRINGFELLOW MEMORIAL HOSPITAL
325,address1,301 EAST 18TH ST
325,address2,""
325,address3,""
325,city,ANNISTON
325,state,AL
325,zip code,36201
325,county name,CALHOUN
325,phone number,2562358900
325,hospital type,Acute Care Hospitals
325,hospital owner,Proprietary
325,emergency service,Yes
325,condition,Pneumonia
325,measure code,PN-2
325,measure name,Pneumonia Patients Assessed and Given Pneumococcal Vaccination
325,score,97%
325,sample,110 patients
325,stateavg,AL_PN-2
326,provider number,10038
326,hospital name,STRINGFELLOW MEMORIAL HOSPITAL
326,address1,301 EAST 18TH ST
326,address2,""
326,address3,""
326,city,ANNISTON
326,state,AL
326,zip code,36201
326,county name,CALHOUN
326,phone number,2562358900
326,hospital type,Acute Care Hospitals
326,hospital owner,Proprietary
326,emergency service,Yes
326,condition,Pneumonia
326,measure code,PN-3B
326,measure name,Pneumonia Patients Whose Initial Emergency Room Blood Culture Was Performed Prior To The Administration Of The First Hospital Dose Of Antibiotics
326,score,100%
326,sample,102 patients
326,stateavg,AL_PN-3B
327,provider number,10038
327,hospital name,STRINGFELLOW MEMORIAL HOSPITAL
327,address1,301 EAST 18TH ST
327,address2,""
327,address3,""
327,city,ANNISTON
327,state,AL
327,zip code,36201
327,county name,CALHOUN
327,phone number,2562358900
327,hospital type,Acute Care Hospitals
327,hospital owner,Proprietary
327,emergency service,Yes
327,condition,Pneumonia
327,measure code,PN-4
327,measure name,Pneumonia Patients Given Smoking Cessation Advice/Counseling
327,score,100%
327,sample,83 patients
327,stateavg,AL_PN-4
328,provider number,10038
328,hospital name,STRINGFELLOW MEMORIAL HOSPITAL
328,address1,301 EAST 18TH ST
328,address2,""
328,address3,""
328,city,ANNISTON
328,state,AL
328,zip code,36201
328,county name,CALHOUN
328,phone number,2562358900
328,hospital type,Acute Care Hospitals
328,hospital owner,Proprietary
328,emergency service,Yes
328,condition,Pneumonia
328,measure code,PN-5C
328,measure name,Pneumonia Patients Given Initial Antibiotic(s) within 6 Hours After Arrival
328,score,97%
328,sample,145 patients
328,stateavg,AL_PN-5C
329,provider number,10038
329,hospital name,STRINGFELLOW MEMORIAL HOSPITAL
329,address1,301 EAST 18TH ST
329,address2,""
329,address3,""
329,city,ANNISTON
329,state,AL
329,zip code,36201
329,county name,CALHOUN
329,phone number,2562358900
329,hospital type,Acute Care Hospitals
329,hospital owner,Proprietary
329,emergency service,Yes
329,condition,Pneumonia
329,measure code,PN-6
329,measure name,Pneumonia Patients Given the Most Appropriate Initial Antibiotic(s)
329,score,92%
329,sample,99 patients
329,stateavg,AL_PN-6
330,provider number,10038
